System_Series_Stage,age_max_t,age_max_t_range,age_min_t,age_min_t_range
Quaternary,2.58,0,0,0
Neogene,23.03,0,2.58,0
Paleogene,66,0,23.03,0
Cretaceous,145,0,66,0
Jurrasic,201.3,0.2,145,0
Triassic,251.902,0.024,201.3,0.2
Permian,298.9,0.15,251.902,0.024
Carboniferous,358.9,0.4,298.9,0.15
Devonian,419.2,3.2,358.9,0.4
Silurian,443.8,1.5,419.2,3.2
Ordovician,485.4,1.9,443.8,1.5
Cambrian,538.8,0.2,485.4,1.9
Proterozoic,2500,0,538.8,0
Archean,4000,0,2500,0
Hadean,4600,0,4000,0
Holocene,0.0117,0,0,0
Pleistocene,2.58,0,0.0117,0
Pliocene,5.333,0,2.58,0
Miocene,23.03,0,5.333,0
Oligocene,33.9,0,23.03,0
Eocene,56,0,33.9,0
Paleocene,66,0,56,0
Upper Cretaceous,100.5,0,66,0
Lower Cretaceous,145,0,100.5,0
Upper Jurrasic,163.5,1,145,0
Middle Jurrasic,174.1,1,163.5,1
Lower Jurrasic,201.3,0.2,174.1,1
Upper Triassic,237,0,201.3,0.2
Middle Triassic,247.2,0,237,0
Lower Triassic,251.902,0.024,247.2,0
Lopingian,259.51,0.21,251.902,0.024
Guadalupian,273.01,0.14,259.51,0.21
Cisuralian,298.9,0.15,273.01,0.14
Upper Pennsylvanian,307,0.1,298.9,0.15
Middle Pennsylvanian,315.2,0.2,307,0.1
Lower Pennsylvanian,323.2,0.4,315.2,0.2
Upper Mississipian,330.9,0.2,323.2,0.4
Middle Mississipian,346.7,0.4,330.9,0.2
Lower Mississipian,358.9,0.4,346.7,0.4
Upper Devonian,382.7,1.6,358.9,0.4
Middle Devonian,393.3,1.2,382.7,1.6
Lower Devonian,419.2,3.2,393.3,1.2
Pridoli,423,2.3,419.2,3.2
Ludlow,427.4,0.5,423,2.3
Wenlock,433.4,0.8,427.4,0.5
Llandovery,443.8,1.5,433.4,0.8
Upper Ordovician,458.4,0.9,443.8,1.5
Middle Ordovician,470,1.4,458.4,0.9
Lower Ordovician,485.4,1.9,470,1.4
Furongian,497,0,485.4,0
Miaolingian,509,0,497,0
Series 2,521,0,509,0
Terreneuvian,538.8,0.2,521,0
Neoproterozoic,1000,0,538.8,0
Mesoproterozoic,1600,0,1000,0
Paleoproterozoic,2500,0,1600,0
Neoarchean,2800,0,2500,0
Mesoarchean,3200,0,2800,0
Paleoarchean,3600,0,3200,0
Eoarchean,4000,0,3600,0
Hadean,4600,0,4000,0
Meghalayan,0.0042,0,0,0
Northgrippian,0.0082,0,0.0042,0
Greenlandian,0.0117,0,0.0082,0
Upper,0.129,0,0.0117,0
