System,Epoch,Stage,age_max_t,age_max_t_range,age_min_t,age_min_t_range
Quaternary,Holocene,Meghalayan,0.0042,0,0,0
Quaternary,Holocene,Northgrippian,0.0082,0,0.0042,0
Quaternary,Holocene,Greenlandian,0.0117,0,0.0082,0
Quaternary,Pleistocene,Upper,0.129,0,0.0117,0
Quaternary,Pleistocene,Chibanian,0.774,0,0.129,0
Quaternary,Pleistocene,Calabrian,1.8,0,0.774,0
Quaternary,Pleistocene,Gelaian,2.58,0,1.8,0
Neogene,Pliocene,Piacenzian,3.6,0,2.58,0
Neogene,Pliocene,Zanclean,5.333,0,3.6,0
Neogene,Miocene,Messinian,7.246,0,5.333,0
Neogene,Miocene,Tortonian,11.63,0,7.246,0
Neogene,Miocene,Serravallian,13.82,0,11.63,0
Neogene,Miocene,Langhian,15.97,0,13.82,0
Neogene,Miocene,Burdigalian,20.44,0,15.97,0
Neogene,Miocene,Aquitanian,23.03,0,20.44,0
Paleogene,Oligocene,Chattian,27.82,0,23.03,0
Paleogene,Oligocene,Rupelian,33.9,0,27.82,0
Paleogene,Eocene,Priabonian,37.71,0,33.9,0
Paleogene,Eocene,Bartonian,41.2,0,37.71,0
Paleogene,Eocene,Lutetian,47.8,0,41.2,0
Paleogene,Eocene,Ypresian,56,0,47.8,0
Paleogene,Paleocene,Thanetian,59.2,0,56,0
Paleogene,Paleocene,Selandian,61.6,0,59.2,0
Paleogene,Paleocene,Danian,66,0,61.6,0
Cretaceous,Upper,Maastrichtian,72.1,0.2,66,0
Cretaceous,Upper,Campanian,83.6,0.2,72.1,0.2
Cretaceous,Upper,Santonian,86.3,0.5,83.6,0.2
Cretaceous,Upper,Coniacian,89.8,0.3,86.3,0.5
Cretaceous,Upper,Turonian,93.9,0,89.8,0.3
Cretaceous,Upper,Cenomanian,100.5,0,93.9,0
Cretaceous,Lower,Albian,113,0,100.5,0
Cretaceous,Lower,Aptian,121.4,0,113,0
Cretaceous,Lower,Barremian,129.4,0,121.4,0
Cretaceous,Lower,Hauterivian,132.6,0,129.4,0
Cretaceous,Lower,Berriasian,145,0,132.6,0
Jurrasic,Upper,Tithonian,152.1,0.9,145,0
Jurrasic,Upper,Kimmeridgian,157.3,1,152.1,0.9
Jurrasic,Upper,Oxfordian,163.5,1,157.3,1
Jurrasic,Middle,Callovian,166.1,1.2,163.5,1
Jurrasic,Middle,Bathonian,168.3,1.3,166.1,1.2
Jurrasic,Middle,Bajocian,170.3,1.4,168.3,1.3
Jurrasic,Middle,Aelenian,174.1,1,170.3,1.4
Jurrasic,Lower,Toarcian,182.7,0.7,174.1,1
Jurrasic,Lower,Pliensbachian,190.8,1,182.7,0.7
Jurrasic,Lower,Sinemurian,199.3,0.3,190.8,1
Jurrasic,Lower,Hettangian,201.3,0.2,199.3,0.3
Triassic,Upper,Rhaetian,208.5,0,201.3,0.2
Triassic,Upper,Norian,227,0,208.5,0
Triassic,Upper,Carnian,237,0,227,0
Triassic,Middle,Ladinian,242,0,237,0
Triassic,Middle,Anisian,247.2,0,242,0
Triassic,Lower,Olenekian,251.2,0,247.2,0
Triassic,Lower,Induan,251.902,0.024,251.2,0
Permian,Lopingian,Changhsingian,254.14,0.07,251.902,0.024
Permian,Lopingian,Wuchiapingian,259.51,0.21,254.14,0.07
Permian,Guadalupian,Capitanian,264.28,0.16,259.51,0.21
Permian,Guadalipian,Wordian,266.9,0.4,264.28,0.16
Permian,Guadalupian,Roadian,273.01,0.14,266.9,0.4
Permian,Cisuralian,Kungurian,283.5,0.6,273.01,0.14
Permian,Cisuralian,Artinskian,290.1,0.26,283.5,0.6
Permian,Cisuralian,Sakmarian,293.52,0.17,290.1,0.26
Permian,Cisuralian,Asselian,298.9,0.15,293.52,0.17
Carboniferous,Pennsylvanian-U,Gzhelian,303.7,0.1,298.9,0.15
Carboniferous,Pennsylvanian-U,Kasimovian,307,0.1,303.7,0.1
Carboniferous,Pennsylvanian-M,Moscovian,315.2,0.2,307,0.1
Carboniferous,Pennsylvanian-L,Bashkirian,323.2,0.4,315.2,0.2
Carboniferous,Mississipian-U,Serpukhovian,330.9,0.2,323.2,0.4
Carboniferous,Mississipian-M,Visean,346.7,0.4,330.9,0.2
Carboniferous,Mississipian-L,Tournaisian,358.9,0.4,346.7,0.4
Devonian,Upper,Famennian,372.2,1.6,358.9,0.4
Devonian,Upper,Frasnian,382.7,1.6,372.2,1.6
Devonian,Middle,Givetian,387.7,0.8,382.7,1.6
Devonian,Middle,Eifelian,393.3,1.2,387.7,0.8
Devonian,Lower,Emsian,407.6,2.6,393.3,1.2
Devonian,Lower,Pragian,410.8,2.8,407.6,2.6
Devonian,Lower,Lochkovian,419.2,3.2,410.8,2.8
Silurian,Pridoli,NA,423,2.3,419.2,3.2
Silurian,Ludlow,Ludfordian,425.6,0.9,423,2.3
Silurian,Ludlow,Gorstian,427.4,0.5,425.6,0.9
Silurian,Wenlock,Homerian,430.5,0.7,427.4,0.5
Silurian,Wenlock,Sheinwoodian,433.4,0.8,430.5,0.7
Silurian,Llandovery,Telychian,438.5,1.1,433.4,0.8
Silurian,Llandovery,Aeronian,440.8,1.2,438.5,1.1
Silurian,Llandovery,Rhuddanian,443.8,1.5,440.8,1.2
Ordovician,Upper,Hirnantian,445.2,1.4,443.8,1.5
Ordovician,Upper,Katian,453,0.7,445.2,1.4
Ordovician,Upper,Sandbian,458.4,0.9,453,0.7
Ordovician,Middle,Darriwilian,467.3,1.1,458.4,0.9
Ordovician,Middle,Dapingian,470,1.4,467.3,1.1
Ordovician,Lower,Floian,477.7,1.4,470,1.4
Ordovician,Lower,Tremadocian,485.4,1.9,477.7,1.4
Cambrian,Furongian,Stage 10,489.5,0,485.4,1.9
Cambrian,Furongian,Jiangshanian,494,0,489.5,0
Cambrian,Furongian,Paibian,497,0,494,0
Cambrian,Miaolingian,Guzhangian,500.5,0,497,0
Cambrian,Miaolingian,Drumian,504.5,0,500.5,0
Cambrian,Miaolingian,Wuliuan,509,0,504.5,0
Cambrian,Series 2,Stage 4,514,0,509,0
Cambrian,Series 2,Stage 3,521,0,514,0
Cambrian,Terreneuvian,Stage 2,529,0,521,0
Cambrian,Terreneuvian,Fortunian,538.8,0.2,529,0
Proterozoic,Neoproterozoic,Ediacaran,635,0,538.8,0.2
Proterozoic,Neoproterozoic,Cryogenian,720,0,635,0
Proterozoic,Neoproterozoic,Tonian,1000,0,720,0
Proterozoic,Mesoproterozoic,Stenian,1200,0,1000,0
Proterozoic,Mesoproterozoic,Ectasian,1400,0,1200,0
Proterozoic,Mesoproterozoic,Calymmian,1600,0,1400,0
Proterozoic,Paleoproterozoic,Statherian,1800,0,1600,0
Proterozoic,Paleoproterozoic,Orosirian,2050,0,1800,0
Proterozoic,Paleoproterozoic,Rhyacian,2300,0,2050,0
Proterozoic,Paleoproterozoic,Siderian,2500,0,2300,0
Archean,Neoarchean,,2800,0,2500,0
Archean,Mesoarchean,,3200,0,2800,0
Archean,Paleoarchean,,3600,0,3200,0
Archean,Eoarchean,,4000,0,3600,0
Hadean,Hadean,Hadean,4600,0,4000,0
