,id,utme,utmn,strat_unit,strat_unit_symbol,unit_local,tecunit,era,period,strat_age,gp_suite,fm_lithodm,mem_phase,rock_class,rock_code,rock_type,remarks,rk_char,rk_char_cd,age_max_g,age_min_g,age_stratigraphic,epoch,stage,age_max_t,age_max_t_range?,age_min_t,age_min_t_range?,age_desc,age_method,age_remarks,belt,terrane,basin,basin_age,ckout_by,ckout_date,ckout_tag,mp_id,project,src_id,src_ref,note,strat_age_max,strat_age_min
0,HOY_1001,392079,5454232,JNgd,,mJgd,,Mesozoic,Jurassic,Middle Jurassic,Nelson plutonic suite,,,intrusive rocks,gd,"granodiorite, quartz diorite, minor diorite",,,,Lower Jurassic,Middle Jurassic,,,,201.3,0.2,163.5,0.2,,,,Omineca,Post accretionary,,,T. Høy,2020-04-13,revision,Penticton,Boundary,,"Høy, T. and Jackaman, W., 2016, Geology of the Almond Mountain map sheet, Geoscience BC map 2016-08",,Middle Jurassic,
1,HOY_1002,392636,5429653,PrGFshm,,Pr5,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,shm,"hornblende schist, amphibolite; minor biotite and staurolite schist",,,,Mesoproterozoic,Paleozoic,,,,1600,0.0,635.0,0.0,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
2,HOY_1003,396053,5428536,PrGFcm,,Pr2m,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; includes pegmatite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
3,HOY_1004,395332,5429187,PRGFqm,,Pr2,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,qm,"quartzite, thick-bedded; minor sillimanite-biotite schist, paragneiss",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
4,HOY_1005,396386,5428937,PrGFcm,,Pr2m,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; includes pegmatite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
5,HOY_1006,397920,5428751,PrGFcm,,Pr2m,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; includes pegmatite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
6,HOY_1007,398630,5428975,PrGFcm,,Pr2m,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,cm,"marble, calc-silicate gneiss; includes pegmatite",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-27,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
7,HOY_1008,398737,5429270,PrGFognm,,Progn3,,Proterozoic,Mesoproterozoic,Mesoproterozoic,Grand Forks complex,,,metamorphic rocks,ognm,orthogneiss; biotite-hornblende granodiorite gneiss,,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-20,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,
8,HOY_1009,399078,5429067,PrGFma,,Pr2a,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,ma,amphibolite gneiss,,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-24,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
9,HOY_1010,403609,5428924,PRGFqm,,Pr2,,Proterozoic,Mesoproterozoic to Neoproterozoic,Mesoproterozoic to Neoproterozoic,Grand Forks complex,,,metamorphic rocks,qm,"quartzite, thick-bedded; minor sillimanite-biotite schist, paragneiss",,,,Mesoproterozoic,Paleozoic,,,,,,,,,,,Omineca,basement,,,T. Høy,2020-04-22,revision,Penticton,Boundary,,"Preto, V.A., 1969, Structury and petrology of the Grand Forks complex, British Columbia; GSC, paper 69-22",,Mesoproterozoic,Neoproterozoic
